1,SUM of MPN,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sample Site,8/21/2023,8/14/2023,8/7/2023,7/31/2023,7/24/2023,7/12/2023,7/10/2023,7/3/2023,6/28/2023,6/26/2023,6/21/2023,6/19/2023,6/12/2023,6/5/2023,5/31/2023,5/29/2023,5/22/2023,5/15/2023,5/8/2023,5/1/2023,4/24/2023,4/17/2023,4/14/2023,4/12/2023,4/10/2023,4/3/2023,3/31/2023,3/27/2023,3/20/2023,3/16/2023,3/13/2023,3/6/2023,2/27/2023,2/20/2023,2/13/2023,2/6/2023,1/30/2023,1/25/2023,1/23/2023,1/18/2023,1/16/2023,1/11/2023,1/9/2023,1/4/2023,1/2/2023,12/28/2022,12/26/2022,12/21/2022,12/19/2022,12/14/2022,12/12/2022,12/7/2022,12/5/2022,11/30/2022,11/28/2022,11/25/2022,11/21/2022,11/16/2022,11/14/2022,11/11/2022,11/7/2022,11/2/2022,10/31/2022,10/26/2022,10/24/2022,10/19/2022,10/17/2022,10/13/2022,10/10/2022,10/5/2022,10/3/2022,9/30/2022,9/26/2022,9/21/2022,9/19/2022,9/14/2022,9/12/2022,9/9/2022,9/7/2022,8/31/2022,8/29/2022,8/24/2022,8/22/2022,8/17/2022,8/15/2022,8/11/2022,8/10/2022,8/8/2022,8/3/2022,8/1/2022,7/27/2022,7/25/2022,7/20/2022,7/18/2022,7/14/2022,7/13/2022,7/11/2022,7/8/2022,7/6/2022,6/29/2022,6/27/2022,6/22/2022,6/20/2022,6/16/2022,6/13/2022,6/10/2022,6/8/2022,6/1/2022,5/26/2022,5/23/2022,5/20/2022,5/16/2022,5/12/2022,5/9/2022,5/2/2022,4/27/2022,4/25/2022,4/20/2022,4/18/2022,4/11/2022,4/6/2022,4/4/2022,3/28/2022,3/23/2022,3/21/2022,3/16/2022,3/14/2022,3/9/2022,3/2/2022,2/28/2022,2/25/2022,2/23/2022,2/17/2022,2/14/2022,2/9/2022,2/7/2022,1/31/2022,1/26/2022,1/24/2022,1/19/2022,1/13/2022,1/10/2022,1/4/2022,1/3/2022,
13,Little River Drive,,,,,,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Little River Salinity Control Structure,,,,,,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Little River Spur Canal,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Little River Upstream,,,,,,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Little River West,,,,,,,,,,,,,,,,,,,,,,,,,794,10,96,105,31,,380,110,,,120,1600,,97,414,,52,1012,3448,185,135,120,1043,2014,85,41,1050,1565,97,,41,,703,52,85,959,749,146,85,74,134,676,134,404,637,,52,359,350,318,389,,428,120,231,226,269,,62,327,185,10,,201,4160,2809,,63,221,24196,209,,299,175,185,98,120,145,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Mariner Drive,97,10,5,5,5,,5,118,,63,,105,5,5,,20,5,5,5,10,5,10,,199,108,5,,5,63,,10,10,5,5,,40,5,,5,,5,,10,,50,,5,363,179,,5,,20,,5,20,4360,,20,,5,,20,,20,,5,5,1850,,51,,5,41,72,,5,,20,,41,,31,,10,,,10,,10,,5,,20,,,5,,20,,5,,10,,52,85,"2,723",30,,20,,5,,63,5,,10,,10,10,,20,41,,20,,5,20,,10,,31,,10,,10,31,5,,61,,20,5,,
19,Matheson Hammock,10,5,5,121,,,5,41,51,,504,,,393,591,,470,106,0,5,63,1372,63,,309,30,,5,85,,320,240,,,5,5,,,10,,10,,10,10,134,,30,,10,5,92,,5,,10,,443,,31,,41,,31,,31,,10,10,189,,41,10,336,5,119,,10,,20,,41,,5,,20,355,,146,1396,72,,10,5,119,,95,73,,5,,10,,10,,31,,5,10,,5,31,109,,5,31,,5,,52,5,75,8704,10,,52,,74,30,98,148,350,75,,51,41,259,5,,5,74,75,121,,108,
20,Miami Marine Stadium,52,5,5,5,,,10,10,71,,52,,,359,243,,85,31,0,63,30,318,63,,259,20,,5,30,,74,97,,,5,110,,,10,,52,,630,,41,52,1222,,5,155,94,,5,,10,,414,,10,31,83,,31,86,448,,5,,10,,10,5,891,,41,,31,,20,5,110,,5,,5,,,20,,10,,5,,63,,20,73,,5,,5,,10,,41,,5,20,,20,,41,,5,5,,10,85,86,20,,10,20,,41,,5,5,,5,,20,,52,,10,5,5,,41,,41,31,,
21,Miami River Boat Ramp,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Miami River Salinity Control Structure,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Miami River Upstream,,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Morningside Park,74,10,30,121,,,2172,132,272,,1631,,,888,3623,,1726,802,0,84,580,1254,10,,705,2878,,20,10,10,1700,360,,,30,98,,,10,,5,,5,10,85,,5,51,108,,5,110,80,,10,,408,,63,144,97,,10,,20,,30,63,246,,10,20,683,52,121,,52,,41,7701,97,,10,295,459,,216,225,2064,333,,35,223,110,96,,86,213,682,51,414,223,175,20,203,404,"6,893",10,,10,20,85,,20,41,,31,52,75,10,,20,10,5,75,,62,5,,20,,5,,10,,52,5,,5,5,,52,,5,
25,North Bay Village Dog Park,,5,,20,,,,10,,,,20,,,,,10,10,5,2851,457,41,,,5,5,,5,10,,10,5,5,5,,103,10,5,10,,5,,5,,20,52,135,,10,,5,,40,,5,41,259,,5,,10,,10,,5,,5,,40,,5,,5,,10,,10,,41,,5,,5,,5,,20,85,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,North Bay Village Marina,52,,5,,5,,10,,,10,,,5,5,,52,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,RSMAS,20,52,10,41,,,10,31,41,,253,,,216,121,,85,84,0,52,10,2359,41,,728,10,,5,10,,52,30,,,72,5,,84,158,,5,,5,,5,,52,,10,328,293,,5,,5,,62,,5,,30,,5,,5,,20,,52,,41,181,74,,5,5,504,20,84,145,75,,5,10,86,161,,388,,41,85,121,,10,,,10,,5,,5,,5,30,241,,63,10,,20,5,74,,5,31,,5,,10,216,,10,114,,41,,5,5,,10,,30,,5,,52,5,20,,5,85,323,10,,
28,Shake A Leg,6653,10,85,94,,,20,369,82,,216,,,784,1529,,305,241,0,41,51,24196,10,,443,10,,5,20,,110,180,,,160,10,,,5,,20,5,95,,41,62,83,233,130,30,181,,5,,5,,2282,,5,119,6586,,20,10,86,61,134,,31,,10,,31,62,84,,10,,52,5,24196,5748,223,,31,,,20,,30,,52,,20,,,10,,41,,10,41,95,,20,41,74,10,,10,,10,,20,5,,10,,5,52,,20,20,,10,,30,41,,31,,5,,20,,63,10,,10,10,,52,,20,
29,Silver Sands Beach Resort,206,5,5,5,5,,10,5,,10,,5,5,5,,5,10,10,10,5,5,5,,41,3255,5,,5,63,,5,30,5,5,,10,5,,5,,5,,10,5,104,,5,,10,,5,,5,,51,10,98,,5,,20,,31,10,146,,5,,31,,10,,63,,52,,5,,10,,20,,20,,5,,,5,,52,,5,,30,,,10,,10,,5,51,96,,5,,5,5,,5,,5,,5,20,,5,,5,5,,20,5,,20,,20,5,,20,,5,,31,,10,20,5,,10,,5,161,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
